ENSMUST00000000001	ENSMUSG00000000001	Gnai3
ENSMUST00000000003	ENSMUSG00000000003	Pbsn
ENSMUST00000000010	ENSMUSG00000020875	Hoxb9
ENSMUST00000000028	ENSMUSG00000000028	Cdc45
ENSMUST00000000033	ENSMUSG00000048583	Igf2
ENSMUST00000000049	ENSMUSG00000000049	Apoh
ENSMUST00000000058	ENSMUSG00000000058	Cav2
ENSMUST00000000080	ENSMUSG00000000078	Klf6
ENSMUST00000000087	ENSMUSG00000000085	Scmh1
ENSMUST00000000090	ENSMUSG00000000088	Cox5a
ENSMUST00000000094	ENSMUSG00000061689	Dlgap4
ENSMUST00000000095	ENSMUSG00000000093	Tbx2
ENSMUST00000000096	ENSMUSG00000000094	Tbx4
ENSMUST00000000109	ENSMUSG00000055022	Cntn1
ENSMUST00000000122	ENSMUSG00000000120	Ngfr
ENSMUST00000000127	ENSMUSG00000000125	Wnt3
ENSMUST00000000128	ENSMUSG00000000126	Wnt9a
ENSMUST00000000129	ENSMUSG00000000127	Fert2
ENSMUST00000000137	ENSMUSG00000020152	Actr2
ENSMUST00000000145	ENSMUSG00000020333	Acsl6
ENSMUST00000000161	ENSMUSG00000000157	Itgb2l
ENSMUST00000000163	ENSMUSG00000000159	Igsf5
ENSMUST00000000171	ENSMUSG00000000167	Pih1d2
ENSMUST00000000175	ENSMUSG00000000171	Sdhd
ENSMUST00000000186	ENSMUSG00000000182	Fgf23
ENSMUST00000000187	ENSMUSG00000000183	Fgf6
ENSMUST00000000188	ENSMUSG00000000184	Ccnd2
ENSMUST00000000193	ENSMUSG00000035385	Ccl2
ENSMUST00000000194	ENSMUSG00000035352	Ccl12
ENSMUST00000000199	ENSMUSG00000062661	Ncs1
ENSMUST00000000201	ENSMUSG00000000197	Nalcn
ENSMUST00000000208	ENSMUSG00000000204	Slfn4
ENSMUST00000000219	ENSMUSG00000000214	Th
ENSMUST00000000220	ENSMUSG00000000215	Ins2
ENSMUST00000000221	ENSMUSG00000000216	Scnn1g
ENSMUST00000000228	ENSMUSG00000000223	Drp2
ENSMUST00000000253	ENSMUSG00000000247	Lhx2
ENSMUST00000000254	ENSMUSG00000000248	Clec2g
ENSMUST00000000260	ENSMUSG00000000253	Gmpr
ENSMUST00000000266	ENSMUSG00000026535	Ifi202b
ENSMUST00000000284	ENSMUSG00000000275	Trim25
ENSMUST00000000285	ENSMUSG00000000276	Dgke
ENSMUST00000000287	ENSMUSG00000000278	Scpep1
ENSMUST00000000291	ENSMUSG00000000282	Mnt
ENSMUST00000000299	ENSMUSG00000000290	Itgb2
ENSMUST00000000304	ENSMUSG00000000295	Hddc2
ENSMUST00000000305	ENSMUSG00000000296	Tpd52l1
ENSMUST00000000310	ENSMUSG00000000301	Pemt
ENSMUST00000000312	ENSMUSG00000000303	Cdh1
ENSMUST00000000314	ENSMUSG00000000305	Cdh4
ENSMUST00000000317	ENSMUSG00000000308	Ckmt1
ENSMUST00000000326	ENSMUSG00000000317	Bcl6b
ENSMUST00000000327	ENSMUSG00000000318	Clec10a
ENSMUST00000000329	ENSMUSG00000000320	Alox12
ENSMUST00000000335	ENSMUSG00000000326	Comt
ENSMUST00000000342	ENSMUSG00000020676	Ccl11
ENSMUST00000000348	ENSMUSG00000000339	Rtca
ENSMUST00000000349	ENSMUSG00000000340	Dbt
ENSMUST00000000356	ENSMUSG00000000346	Dazap2
ENSMUST00000000365	ENSMUSG00000000355	Mcts1
ENSMUST00000000369	ENSMUSG00000000359	Rem1
ENSMUST00000000384	ENSMUSG00000000374	Trappc10
ENSMUST00000000388	ENSMUSG00000000378	Ccm2
